name,url,address,scope,country,state
LEADERSHIP Newspapers,https://leadership.ng/,"27 Ibrahim Tahir Street, Utako, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Peoples Daily Newspaper,http://peoplesdailyng.com/,"35 Ajose Adeogun St, Utako, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
NATIONAL ACCORD NEWSPAPER,http://nationalaccordnewspaper.com/,"3, 8 Jos St, Garki, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Our Nigeria News Magazine,https://ournigerianews.com/,"Zone 4, 2 Gwani St, Wuse, Abuja 904101, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Frontline News Online,http://www.frontlinenews.com.ng/,"4 A.E. Ekukinam St, AMAC, Abuja 900107, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Lens News – Nigeria’s Trusted Digital News Platform,https://lens.ng/,"D11 Rukayat Plaza, Jabi, AMAC, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Nigeria Today Magazine (Today Network Global),https://www.nigeriatodaymagazine.com/,"17 Onitsha Cres, Local, Garki, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Opinion Nigeria,https://www.opinionnigeria.com/,"No. 47B, Bannex Vinna Plaza, Wuse 2, Abuja 234009, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Media Bypass News,http://www.mediabypassnews.com/,"Municipal, Abuja 110001, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
News Point Nigeria,https://www.newspointnigeria.com/,"25a Olu Awotesu St, municipal, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
First News Media,http://www.firstnewsonline.ng/,"7a Alh. Hussein Sunmonu St, Eti-Osa, Lekki 105102, Lagos, Nigeria",national,Nigeria,Plateau
NNO - Naija Online News NG,http://naijaonlinenews.com/,"Hilltop Estate, Plot 96 Bola Dada St, Aboru, Lagos 100323, Lagos, Nigeria",national,Nigeria,Plateau
PR TIMES AFRICA,https://prtimesafrica.com.ng/,"Second Floor, Real Tower Plaza, A.E Ekukinam Street Suite A4 (1, Abuja 901008, Utako, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Opinow Media Ltd,https://opinow.com/,"#4 Amurie Omanze St, Garki, Abuja 900211, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
NEWSFLASHNGR MEDIA,https://newsflashngr.com/,"1 Bwari Express Rd, 901101, Abuja 234036, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Premium Times Services Limited,http://www.premiumtimesng.com/,"Plot 1088 Isiyaku Ismaila Cres, Wuye, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Daily Intel Newspapers,https://www.dailyintelnewspaper.com/,"NUJ Secretariat Plot 4, Ekukinam Street, Cadastral Zone B05, Utako District, Utako, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Access News & Magazine,https://www.accessnews.ng/,"Suite A109 Stiks & Stones Plaza, Adetokunbo Ademola Cres, Wuse 2, Abuja 904101, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
NewsCall Media,https://newscallmedia.com/,"12 Water Works Rd, Azuiyi Udene, Abakaliki 480106, Ebonyi, Nigeria",national,Nigeria,Plateau
The Next Edition,http://nextedition.com.ng/,"3b, Agboola Aina Street, Off Amore Street Off Toyin Street, by Morenike Cl, Allen, Ikeja 100271, Lagos, Nigeria",national,Nigeria,Plateau
New Nigeria Times,http://www.newnigeriatimes.com/,"CHURCH GATE HOUSE, Central Business District, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
METRO DAILY Nigeria,http://www.metrodailyng.com/,"Zakaria Maimalari St, Central Business Dis, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
The Eagle Online,http://www.theeagleonline.com.ng/,"27, Joseph Odunlami Street, Off Thomas Salako Street, Ogba, Ikeja 101232, Lagos, Nigeria",national,Nigeria,Plateau
21st Century Chronicle,https://21stcenturychronicle.com/,"Plot 259 Samuel Ademulegun Ave, opposite National Mosque, Central Business Dis, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Dailybrief News Nigeria,https://www.dailybrief.ng/,"Wuse, Abuja 900288, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Aluta News,https://www.alutanews.ng/,"3C7G+7P5, 22 I.T. Igbani, District, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
DAL VIEW ONLINE TV -NIGERIA,http://www.dalviewtv.wordpress.com/,"Dal View TV Virtual Space, 200 Albishiri Street, Minna 920101, Niger, Nigeria",national,Nigeria,Plateau
Precision News,https://www.theprecisionng.com/,"Pen House, Pen Crescent, Akure 234034, Ondo, Nigeria",national,Nigeria,Plateau
Trustbase News,https://trustbasenews.ng/,"Gwarinpa, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Bluetoolz media,http://www.bluetoolz.com.ng/,"Kaura Modern Market, Kaura, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Naija Live TV,http://www.naijalivetv.com/,"Obeni Plaza, besides Union bank, 122 Mbiama-Yenagoa Road, Amarata, Yenagoa 569101, Bayelsa, Nigeria",national,Nigeria,Plateau
The Abuja Inquirer,http://www.theabujainquirer.com/,"Jummai Kwanashie Crescent, (Formerly, Citec Villa, Plot 207 44 Cres, Gwarinpa, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
The New Africa Magazine,https://thenewafricamag.com/,"Area 8, 4 Eket Cl, Garki, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
