name,url,address,scope,country,state
NNO - Naija Online News NG,http://naijaonlinenews.com/,"Hilltop Estate, Plot 96 Bola Dada St, Aboru, Lagos 100323, Lagos, Nigeria",national,Nigeria,
PR TIMES AFRICA,https://prtimesafrica.com.ng/,"Second Floor, Real Tower Plaza, A.E Ekukinam Street Suite A4 (1, Abuja 901008, Utako, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,
Opinow Media Ltd,https://opinow.com/,"#4 Amurie Omanze St, Garki, Abuja 900211, Federal Capital Territory, Nigeria",national,Nigeria,
NEWSFLASHNGR MEDIA,https://newsflashngr.com/,"1 Bwari Express Rd, 901101, Abuja 234036, Federal Capital Territory, Nigeria",national,Nigeria,
Premium Times Services Limited,http://www.premiumtimesng.com/,"Plot 1088 Isiyaku Ismaila Cres, Wuye, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,
Access News & Magazine,https://www.accessnews.ng/,"Suite A109 Stiks & Stones Plaza, Adetokunbo Ademola Cres, Wuse 2, Abuja 904101, Federal Capital Territory, Nigeria",national,Nigeria,
Daily Intel Newspapers,https://www.dailyintelnewspaper.com/,"NUJ Secretariat Plot 4, Ekukinam Street, Cadastral Zone B05, Utako District, Utako, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,
NewsCall Media,https://newscallmedia.com/,"12 Water Works Rd, Azuiyi Udene, Abakaliki 480106, Ebonyi, Nigeria",national,Nigeria,
The Next Edition,http://nextedition.com.ng/,"3b, Agboola Aina Street, Off Amore Street Off Toyin Street, by Morenike Cl, Allen, Ikeja 100271, Lagos, Nigeria",national,Nigeria,
METRO DAILY Nigeria,http://www.metrodailyng.com/,"Zakaria Maimalari St, Central Business Dis, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,
New Nigeria Times,http://www.newnigeriatimes.com/,"CHURCH GATE HOUSE, Central Business District, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,
The Eagle Online,http://www.theeagleonline.com.ng/,"27, Joseph Odunlami Street, Off Thomas Salako Street, Ogba, Ikeja 101232, Lagos, Nigeria",national,Nigeria,
21st Century Chronicle,https://21stcenturychronicle.com/,"Plot 259 Samuel Ademulegun Ave, opposite National Mosque, Central Business Dis, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,
Dailybrief News Nigeria,https://www.dailybrief.ng/,"Wuse, Abuja 900288, Federal Capital Territory, Nigeria",national,Nigeria,
Aluta News,https://www.alutanews.ng/,"3C7G+7P5, 22 I.T. Igbani, District, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,
DAL VIEW ONLINE TV -NIGERIA,http://www.dalviewtv.wordpress.com/,"Dal View TV Virtual Space, 200 Albishiri Street, Minna 920101, Niger, Nigeria",national,Nigeria,
Precision News,https://www.theprecisionng.com/,"Pen House, Pen Crescent, Akure 234034, Ondo, Nigeria",national,Nigeria,
Trustbase News,https://trustbasenews.ng/,"Gwarinpa, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,
Bluetoolz media,http://www.bluetoolz.com.ng/,"Kaura Modern Market, Kaura, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,
The Abuja Inquirer,http://www.theabujainquirer.com/,"Jummai Kwanashie Crescent, (Formerly, Citec Villa, Plot 207 44 Cres, Gwarinpa, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,
Naija Live TV,http://www.naijalivetv.com/,"Obeni Plaza, besides Union bank, 122 Mbiama-Yenagoa Road, Amarata, Yenagoa 569101, Bayelsa, Nigeria",national,Nigeria,
The New Africa Magazine,https://thenewafricamag.com/,"Area 8, 4 Eket Cl, Garki, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,
Exponent News- A production of Ewi Exponent Rendition Communication-EERC,https://www.exponentnews.com.ng/,"C/o Nigeria, Union of Journalists, behind Adegbemile Cultural centre, Alagbaka, Akure 340283, Ondo, Nigeria",national,Nigeria,
The Whistler Newspaper,https://thewhistler.ng/,"21 Rd, 2nd Avenue, Gwarinpa, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,
Radio Maria Abuja,https://radiomaria.ng/,"Zone 2, 51 Mambolo St, Wuse, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,
"FRCN Radio House, Abuja",https://radionigeria.gov.ng/,"2FRR+JGP, Herbert Macaulay Wy, Garki, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,
Rhythm 94.7 FM Abuja,http://www.silverbirdgroup.com/,"26B M. Dr, Wuse, Abuja 904101, Federal Capital Territory, Nigeria",national,Nigeria,
Rapid Broadcasting Network,http://www.rbnradiotv.com/,"3 Oka - Akoko St, off Lagos Crescent, Garki 2, Abuja 900247, Federal Capital Territory, Nigeria",national,Nigeria,
Wazobia Fm 99.5 Abuja,http://wazobiafm.com/abuja,"Plot 592 Independence Ave, Central Business District, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,
Radio Nigeria Ibadan,http://www.radionigeria.gov.ng/,"9VPJ+WGG, 7th Day Adventist Rd, Ibadan 200284, Oyo, Nigeria",national,Nigeria,
Plateau Radio Television Corporation (PRTV) Rayfield,https://www.prtvc.net/,"RVRX+M9R, Jos 930103, Plateau, Nigeria",national,Nigeria,
KISSFM,http://www.kissfm999.media/live,"17, Karaye Street, Off Samuel Ladoke Akintola Boulevard, Garki 2, Abuja 900110, Federal Capital Territory, Nigeria",national,Nigeria,
Anambra Broadcasting Service,http://www.absradiotelevision.com/,"ABS, Anambra Broadcasting Service, Awka 420110, Anambra, Nigeria",national,Nigeria,
"Eko FM 89.7 Lagos, Ikeja",http://ekofm.lagosstate.gov.ng/,"1 Lateef Jakande Rd, Agidingbi, Ikeja 101233, Lagos, Nigeria",national,Nigeria,
